Обеспечение, залог|Collateral, pledge
Изменение внутренних процедур|Change of internal procedures
Направить иск|To submit a claim
Иск, претензия|Claim
Контроль платежей; (вне графика)|Monitoring of payments; (out of shedule)
Выплата СК|Insuranse payment
Права наследования; вступать в…|Inheritance rights; to join the right of inheritance
Списать с баланса…|Write off the balance sheet
Отменять|Cancel, abOlish, repeal
Отмена|Cancellation, abolition, repeal
Наоборот|On the contrary
Казначейство, казна|Treasury
Так называемый|So called
Качели; перепады настроения|Swings; mood swings
Досрочный|Early, preshedule
Кроме того|Additionally, besides
Более того|Moreover
Особенно|Especially
Скучный|Boring
Рука|Hand, arm
Спина|Back
