Russian,English
я,I
не,not
в,in
и,and
это,This
на,on the
с,with
он,is he
мы,we
как,as
вы,you
да,Yes
мне,to me
у,at
нет,No
меня,me
так,So
но,but
его,his
все,all
тебя,you
о,about
если,if
за,behind
бы,would
тебе,you
они,they
чтобы,to
же,the same
есть,there is
просто,simply
ну,well
когда,when
хорошо,well
здесь,here
по,on
был,was
знаю,I know
то,then
только,only
всё,all
было,It was
вас,you
может,maybe
нас,us
вот,here
от,from
почему,why
их,them
очень,very
могу,can
уже,already
или,or
нам,us
еще,more
нужно,need
сейчас,now
где,where
чем,how
хочу,want
ничего,nothing
этого,this
была,was
мой,my
ее,her
ладно,OK
знаешь,you know
до,before
этом,this
теперь,now
думаю,think
больше,more
её,her
раз,once
ему,him
надо,necessary
время,time
этот,this
ли,Lee
ещё,more
пока,Bye
даже,even
привет,Hey
сказал,said
себя,myself
должен,should
тоже,too
давай,let's
что-то,something
эй,hey
того,Togo
тогда,then
ни,Neither
тут,here
были,were
конечно,certainly
правда,truth
об,about
моя,my
пожалуйста,please
тобой,you
сказать,to tell
сегодня,today
лучше,it is better
сюда,here
мной,me
значит,means
сделать,do
всегда,always
дело,case
ей,her
должны,should
порядке,order
без,without
день,day
буду,I will
делать,make
хотел,I wanted to
чего,what
эти,these
много,lot
после,after
этим,This
всего,Total
во,in
твой,your
ним,him
лет,years
боже,God
них,them
сэр,sir
ведь,after all
мистер,Mister
жизнь,a life
потом,after
ней,her
такой,such
который,which
всех,All
через,through
возможно,possibly
немного,Little
такое,Such
слишком,too much
себе,yourself
зачем,why
должна,should
моей,mine
люди,people
знаете,You know
этой,this
думаешь,You think
свою,my
человек,Human
твоя,yours
под,under
сказала,said
назад,back
из-за,due to
эту,This
можем,Can
случилось,It happened
мама,mother
мог,Could
вместе,together
отец,father
сделал,made
мои,my
друг,friend
куда,where
никто,none
поэтому,That's why
эта,this
которые,which
два,two
тот,that
сколько,how many
понимаю,I see
снова,again
жизни,Life
нравится,Like
людей,of people
помочь,help
видел,saw
люблю,I love
хочет,wants
место,place
знать,know
кто-то,someone
прости,sorry
отлично,Great
похоже,Seems like
парень,boy
домой,home
всем,Everyone
деньги,money
времени,time
именно,exactly
доктор,doctor
делаешь,You do
будем,We will
стоит,costs
поговорить,talk
найти,to find
разве,Is it
слушай,listen
своей,his
лишь,only
ага,Yeah
можете,You can
хотела,I wanted to
сам,myself
что-нибудь,anything
тем,those
будешь,You will
прошу,ask
три,three
деле,business
хотите,want to
говорить,speak
давайте,Let's
знал,He knew
знает,He knows
какой,which
моего,mine
скажи,tell
дом,house
дела,affairs
вами,you
свои,their
ж,well
говорит,He speaks
несколько,some
должно,must
про,pro
ваш,your
происходит,is happening
жаль,it's a pity
туда,there
действительно,really
завтра,tomorrow
оно,it
одна,one
перед,before
наш,our
уверен,sure
отсюда,From here
нужна,Need
самом,myself
тех,those
нужен,Need
свой,mine
мою,mine
кого,whom
верно,right
работу,work
каждый,everyone
твоей,yours
будут,will be
хватит,enough
понял,understood
нее,her
уж,Oh
имя,name
против,against
кое-что,something
пор,por
чём,how
раньше,before
говорю,I say
более,more
надеюсь,hope
итак,so
при,at
ваша,Your
