French,English
de,of
je,I
est,is
pas,not
le,the
que,that
vous,you
tu,you
un,a
à,to 
et,and
il,he
a,has
ne,not
les,the
j',I
en,in
on,we
ça,that
une,a
ce,this
qu',that
pour,for
ai,have
n',not'
des,from
qui,who
mais,but
dans,in
nous,we
elle,she
me,me
bien,good
si,if
du,of
suis,am
avec,with
tout,everything
plus,more
mon,my
te,you
au,to
fait,fact
moi,me
oui,yes
va,go
était,was
faire,To do
ils,they
sur,on
quoi,what
comme,as
sais,know
être,be
veux,want
ici,here
ma,my
toi,you
est-ce,is it
dit,said
lui,him
votre,your
pourquoi,why
où,or
là,the
cette,this
sont,are
quand,when
peux,can
dire,say
son,his 
avez,have
vais,am going to
alors,so
ton,your
comment,How? 'Or' What
par,by
ou,Where
chose,thing
bon,Well
merci,thank you
juste,correct
très,very
jamais,never
été,summer
aussi,also
avoir,to have
vraiment,really
voir,to see
même,same
sa,her
maintenant,now
tous,all
peut,may
deux,of them
ces,those
êtes,are
allez,go
ta,your
autre,other
peu,little
temps,weather
quelque,some
fais,do 
toujours,still
encore,Again
notre,our
mes,my
besoin,need
avait,had
accord,deal
faut,should
dois,must
vie,life
peut-être,perhaps
aller,to go
fois,time
vu,seen
donc,so
sans,without
monde,world
étais,is
parce,by
avant,before
sûr,safe
trop,too much
quelqu',someone
parler,speak
personne,nobody
avais,had
père,dad
crois,believe
aux,to the
dieu,god
ouais,yeah
ses,his
pense,think
eu,eu
aime,love
leur,their
homme,male
viens,come
vrai,true
femme,women
ok,okay
doit,must
veut,wanna
ans,years
mal,evil
chez,at the house of
déjà,already
depuis,from
beaucoup,a lot
vos,your
bonne,good
mort,dead
mieux,better
vas,go
mère,mother
sera,will be
dis,say
fille,daughter
tes,your 
gens,people
quel,what
vois,see 
désolé,sorry
ca,that
voilà,here
avons,have
petit,small
maison,home
soit,is
cela,that
autres,others
toute,all
soir,evening
passé,past
prendre,to take
jour,day
monsieur,sir
nos,our
savoir,to know
choses,things
salut,Hi
cet,this
nom,name
argent,money
bonjour,good morning
nuit,night
raison,reason
moins,less
arrive,arrived
maman,mom
reste,rest
moment,moment
voulais,wanted
seul,only
aider,to help
air,air
entre,Between
papa,father
passe,pass
aurais,would have
problème,problem
peur,fear
regarde,looked
voulez,want
gars,guys
trouvé,found
fils,son
attends,hold on
savez,know
trouver,to find
trois,three
assez,enough
famille,family
dû,of
toutes,all
plaît,please
pourrait,could
travail,work 
pris,taken
tête,head
quelle,what
sait,knows
sommes,are
appelle,call
quelques,some 
faites,done
partir,go
vite,quick
arrête,stopped
seule,only
serait,would
voiture,car
enfants,children
tuer,kill
merde,shit
hé,Hey
pendant,during
idée,idea
chance,chance
parle,speak
aurait,would have
part,go
elles,they
jours,days
grand,big
aujourd'hui,today
venir,to come
ami,friend
demain,tomorrow
tard,late
puis,then
truc,thing
petite,small
tant,so much
connais,know
combien,How many
mec,dude
sens,sense
pouvez,can
porte,door
sortir,to go out
super,Great
heure,hour
contre,versus
coup,kick
comprends,understand
entendu,heard
vient,come
allons,let's go
ensemble,whole
nouveau,new
amour,love
importe,imported
sang,blood
désolée,sorry
cas,case
sous,under
rester,to stay
prends,take
fini,finished
hommes,men
tué,kill
partie,part
histoire,story
devrais,should
aide,aid
dernière,last
demande,request
chercher,look for
pensais,thought
genre,gender
seulement,only
mois,month
frère,brother
