German,English
ich,I
sie,you
das,that
ist,is
du,you
nicht,not
die,the
es,it
und,and
der,the
wir,weather
was,What
zu,to
er,he
ein,a 
in,in
ja,Yes
mir,to me
mit,With
wie,how
den,the
mich,me
auf,on
dass,that
aber,but
eine,one
hat,Has
hier,here
haben,to have
für,for
sind,are
war,was
von,from
wenn,if
dich,you
ihr,her
nein,no
habe,have
an,at
bin,am
noch,still
nur,just
da,there
dir,to you
sich,itself
einen,a
uns,us
hast,have
dem,to the
kann,can
gut,Good
auch,also
schon,beautiful
als,as
sein,be
mal,times
jetzt,now
ihn,him
dann,then
aus,out of
meine,think
um,around
im,in the
wird,will
mein,my
bist,are you
doch,indeed
alles,everything
weiß,White
keine,none
oder,or
nach,to
nichts,Nothing
man,one
muss,got to
werden,will
will,want
ihnen,them
geht,goes
wo,Where
etwas,something
mehr,more
bei,at
also,so
bitte,You're welcome
immer,always
hab,have
warum,why
vor,in front
los,Come on
können,be able
wieder,once again
sagen,to say
machen,do
danke,Thank you
sehr,very
alle,Everyone
denn,then
mann,husband
tun,to do
ihm,him
zum,to the
gehen,walk
sehen,see
vielleicht,perhaps
einem,a
wer,who
ihre,your
diese,this
euch,to you
einer,one
komm,come over
über,about
gibt,gives
okay,OK
wissen,to know
deine,yours
müssen,have to
soll,target
werde,become
nie,never
wirklich,really
hey,hey
kein,no
viel,much
weg,away
würde,would
tut,does
am,at the
des,of
einfach,easy
leben,Life
hatte,had
zeit,Time
weil,because
willst,want
kommen,come
dein,your
heute,today
kommt,comes
wollen,want
damit,in order to
ganz,quite
wäre,would
wollte,wanted to
weißt,white
sicher,secure
gesagt,said
frau,Mrs
nun,well
bis,until
wurde,became
leid,suffering
na,n / A
kannst,can
macht,might
dieser,this
zurück,return
lassen,to let
hallo,Hello
meinen,say
gott,God
seine,his
hätte,had
zwei,two
könnte,could
genau,exactly
waren,was
zur,to the
lass,let
klar,clear
morgen,tomorrow
leute,People
vater,father
schön,Nice
glaube,believe
ab,away
gerade,just
tag,Day
gesehen,seen
reden,talk
wohl,well
liebe,love
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
durch,through
ob,if
keinen,no
mutter,mother
raus,Out
gemacht,made
paar,pair
mach,make
passiert,happens
dachte,thought
besser,better
musst,must
wieso,how come
sir,sir
dieses,this
selbst,self
gehört,heard
möchte,would like to
ohne,without
hör,listening
her,from
sag,say
meiner,mine
anderen,others
helfen,help
nacht,night
finden,Find
diesen,this
gute,quality
wirst,become
lange,Long
natürlich,naturally
ach,Oh
meinem,my
gar,at all
ins,into the
sei,may be
dort,there
weiter,continue
geben,give
seit,since
gleich,same
sagt,says
recht,Law
ihren,their
richtig,correct
ordnung,order
vom,from the
hören,Listen
sieht,sees
davon,of that
dafür,Therefore
geh,walk
diesem,this
wegen,because
hause,home
sollten,should
mädchen,girl
hin,there
sollen,must
abend,evening
haus,a house
denke,think
viele,many
drei,three
deinen,yours
freund,friend
guten,good
unser,our
warte,wait
machst,make
menschen,People
essen,eat
angst,fear
bleiben,stay
zusammen,together
welt,world
unter,under
habt,have
schnell,fast
andere,other
tot,dead
getan,did
darf,may
erst,first
rein,pure
stimmt,Right
nehmen,take
kinder,children
eines,one
glauben,believe
bringen,bring
ganze,whole
genug,enough
scheiße,crap
brauchen,to need
gegen,against
moment,moment
junge,Boy
steht,stands
sonst,otherwise
musik,music
arbeit,job
seid,are
ihrer,of their
fragen,ask
herr,Mr
dabei,included
heißt,called
familie,family
warten,waiting
niemand,nobody
sofort,right away
bevor,before
jahre,years
einmal,once
