Russian,English
я,I
не,not
что,what
в,in
и,and
ты,you
это,This
на,on the
с,with
он,is he
мы,we
как,as
вы,you
да,Yes
мне,to me
у,at
нет,No
меня,me
так,So
но,but
его,his
все,all
она,she is
тебя,you
о,about
если,if
за,behind
бы,would
тебе,you
они,they
чтобы,to
же,the same
есть,there is
просто,simply
из,from
к,to
для,for
ну,well
когда,when
хорошо,well
здесь,here
по,on
был,was
знаю,I know
то,then
только,only
всё,all
было,It was
вас,you
может,maybe
нас,us
вот,here
от,from
быть,be
кто,who
будет,will
почему,why
вам,to you
их,them
очень,very
могу,can
уже,already
спасибо,Thank you
или,or
нам,us
еще,more
там,there
нужно,need
сейчас,now
где,where
чем,how
хочу,want
ничего,nothing
этого,this
была,was
мой,my
ее,her
ладно,OK
знаешь,you know
до,before
этом,this
потому,because
теперь,now
думаю,think
больше,more
её,her
раз,once
ему,him
надо,necessary
время,time
этот,this
ли,Lee
ещё,more
пока,Bye
даже,even
привет,Hey
сказал,said
себя,myself
должен,should
тоже,too
хочешь,want
давай,let's
что-то,something
никогда,never
эй,hey
того,Togo
тогда,then
него,him
ни,Neither
тут,here
были,were
конечно,certainly
правда,truth
об,about
моя,my
пожалуйста,please
тобой,you
сказать,to tell
сегодня,today
один,one
лучше,it is better
можешь,can
сюда,here
мной,me
значит,means
сделать,do
всегда,always
дело,case
можно,can
ей,her
должны,should
порядке,order
без,without
день,day
том,volume
буду,I will
делать,make
хотел,I wanted to
чего,what
эти,these
много,lot
после,after
этим,This
всего,Total
во,in
твой,your
ним,him
лет,years
боже,God
них,them
сэр,sir
ведь,after all
мистер,Mister
жизнь,a life
потом,after
ней,her
такой,such
который,which
всех,All
через,through
им,them
возможно,possibly
немного,Little
такое,Such
слишком,too much
себе,yourself
зачем,why
должна,should
моей,mine
люди,people
знаете,You know
этой,this
думаешь,You think
свою,my
точно,Exactly
человек,Human
твоя,yours
под,under
сказала,said
назад,back
из-за,due to
эту,This
можем,Can
случилось,It happened
мама,mother
мог,Could
вместе,together
отец,father
сделал,made
мои,my
кажется,seems
друг,friend
куда,where
никто,none
поэтому,That's why
эта,this
которые,which
два,two
тот,that
сколько,how many
понимаю,I see
снова,again
жизни,Life
нравится,Like
людей,of people
помочь,help
видел,saw
люблю,I love
хочет,wants
место,place
знать,know
кто-то,someone
прости,sorry
отлично,Great
похоже,Seems like
парень,boy
домой,home
всем,Everyone
деньги,money
иди,Go
времени,time
дома,Houses
именно,exactly
доктор,doctor
думал,thought
говорил,said
делаешь,You do
будем,We will
прямо,straight
стоит,costs
поговорить,talk
найти,to find
разве,Is it
слушай,listen
своей,his
лишь,only
ага,Yeah
можете,You can
простите,sorry
хотела,I wanted to
сам,myself
что-нибудь,anything
тем,those
будешь,You will
прошу,ask
три,three
деле,business
хотите,want to
говорить,speak
давайте,Let's
совсем,at all
знал,He knew
знает,He knows
какой,which
моего,mine
скажи,tell
дом,house
дела,affairs
вами,you
свои,their
ж,well
говорит,He speaks
несколько,some
должно,must
про,pro
ваш,your
происходит,is happening
жаль,it's a pity
туда,there
действительно,really
папа,dad
завтра,tomorrow
оно,it
черт,heck
одна,one
перед,before
наш,our
уверен,sure
отсюда,From here
нужна,Need
самом,myself
тех,those
нужен,Need
свой,mine
мою,mine
кого,whom
верно,right
работу,work
каждый,everyone
твоей,yours
будут,will be
хватит,enough
понял,understood
нее,her
уж,Oh
имя,name
против,against
кое-что,something
пор,por
чём,how
раньше,before
говорю,I say
более,more
надеюсь,hope
итак,so
при,at
ваша,Your
